id,description,service_item_id
151600005,"Baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo", 1516
151600006,"Serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral", 1516
151700001,"Emissão de cheques quaisquer, avulso ou por talão", 1517
151700002,"Fornecimento de cheques quaisquer, avulso ou por talão", 1517
151700003,"Devolução de cheques quaisquer, avulso ou por talão", 1517
151700004,"Sustação de cheques quaisquer, avulso ou por talão", 1517
151700005,"Cancelamento de cheques quaisquer, avulso ou por talão", 1517
151700006,"Oposição de cheques quaisquer, avulso ou por talão", 1517
151800001,"Avaliação de imóvel", 1518
151800002,"Avaliação de obra",1518
151800003,"Vistoria de imóvel",1518
151800004,"Vistoria de obra",1518
151800005,"Análise técnica relacionada ao crédito imobiliário",1518
151800006,"Análise jurídica relacionada ao crédito imobiliário",1518
151800007,"Emissão/reemissão de contrato de crédito imobiliário",1518
151800008,"Alteração de contrato de crédito imobiliário",1518
151800009,"Transferência de contrato de crédito imobiliário",1518
151800010,"Renegociação de contrato de crédito imobiliário",1518
151800011,"Emissão/reemissão de termo de quitação",1518
151800012,"Outros serviços relacionados ao crédito imobiliário",1518
170100001,"Assessoria de qualquer natureza",1701
170100002,"Consultoria de qualquer natureza",1701
170100003,"Análise, exame, fornecimento de dados e informações de qualquer natureza",1701
170200001,"Serviços de expediente",1702
170200002,"Serviços de apoio e infra-estrutura administrativa e congêneres",1702
170300001,"Serviços de planejamento, coordenação, programação ou organização técnica",1703
170300002,"Serviços de planejamento, coordenação, programação ou organização financeira",1703
170300003,"Serviços de planejamento, coordenação, programação ou organização administrativa",1703
170500001,"Fornecimento de mão-de-obra, em caráter temporário ou permanente",1705
170900001,"Serviços de perícias",1709
170900002,"Serviços de laudos",1709
170900003,"Serviços de exames técnicos",1709
170900004,"Serviços de análises técnicas",1709
171200001,"Administração em geral de bens e negócios de terceiros",1712
171300001,"Leilão e congêneres",1713
171600001,"Auditoria",1716
171900001,"Contabilidade, inclusive serviços técnicos e auxiliares",1719
172000001,"Consultoria econômica",1720
172000002,"Assessoria econômica",1720
172000003,"Consultoria financeira",1720
172000004,"Assessoria financeira",1720
180100001,"Serviços de regulação de sinistros vinculados a contratos de seguros",1801
180100002,"Serviços de inspeção e avaliação de riscos para cobertura de contratos de seguros",1801
180100003,"Serviços de prevenção e gerência de riscos seguráveis e congêneres.",1801
190100001,"Serviços de distribuição de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres",1901
190100002,"Serviços de vendas de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres",1901
260100001,"Serviços de coleta de bens ou valores",2601
260100002,"Serviços de remessa de bens ou valores",2601
260100003,"Serviços de entrega de bens ou valores",2601
260100004,"Serviços de courrier e congêneres",2601
280100001,"Serviços de avaliação de bens e serviços de qualquer natureza",2801
